time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2024-01-01 00:00:00,68.9,46.2,0.598,6.7,19.9,97.0
2024-01-01 01:00:00,70.1,47.1,0.689,14.8,20.4,89.0
2024-01-01 02:00:00,72.6,49.1,0.812,25.8,21.2,78.0
2024-01-01 03:00:00,76.1,51.8,0.887,31.8,22.2,77.0
2024-01-01 04:00:00,77.5,53.0,0.872,28.3,23.6,95.0
2024-01-01 05:00:00,75.4,51.7,0.807,20.0,25.2,122.0
2024-01-01 06:00:00,71.5,48.9,0.738,13.0,26.2,144.0
2024-01-01 07:00:00,65.7,44.2,0.669,9.6,26.3,154.0
2024-01-01 08:00:00,57.0,37.3,0.594,7.6,25.8,159.0
2024-01-01 09:00:00,51.6,32.7,0.541,6.9,25.4,159.0
2024-01-01 10:00:00,48.7,30.5,0.515,7.0,25.3,156.0
2024-01-01 11:00:00,47.4,29.7,0.51,8.3,25.3,150.0
2024-01-01 12:00:00,34.0,21.4,0.521,12.2,24.8,142.0
2024-01-01 13:00:00,35.7,23.8,0.615,20.6,23.4,124.0
2024-01-01 14:00:00,35.9,24.6,0.743,31.9,21.4,99.0
2024-01-01 15:00:00,34.8,24.3,0.83,38.4,19.9,82.0
2024-01-01 16:00:00,34.9,24.4,0.836,35.6,19.2,81.0
2024-01-01 17:00:00,37.1,26.0,0.8,27.9,18.9,89.0
2024-01-01 18:00:00,39.9,27.9,0.766,21.0,18.8,96.0
2024-01-01 19:00:00,42.3,29.4,0.746,16.7,18.7,99.0
2024-01-01 20:00:00,43.4,30.2,0.727,13.2,18.7,102.0
2024-01-01 21:00:00,44.0,30.6,0.713,10.5,18.9,104.0
2024-01-01 22:00:00,44.5,30.9,0.693,7.4,19.1,107.0
2024-01-01 23:00:00,45.2,31.3,0.678,5.1,19.5,109.0
2024-01-02 00:00:00,42.1,29.2,0.693,8.2,18.4,97.0
2024-01-02 01:00:00,44.1,30.6,0.811,19.0,19.1,84.0
2024-01-02 02:00:00,48.8,33.8,0.971,33.6,20.1,67.0
2024-01-02 03:00:00,56.1,38.9,1.067,41.9,21.5,63.0
2024-01-02 04:00:00,62.2,43.2,1.044,38.0,23.4,83.0
2024-01-02 05:00:00,65.9,45.6,0.957,27.9,25.7,117.0
2024-01-02 06:00:00,68.9,47.0,0.863,19.1,27.7,145.0
2024-01-02 07:00:00,64.0,42.4,0.768,13.9,29.4,163.0
2024-01-02 08:00:00,57.6,37.4,0.666,10.1,30.9,176.0
2024-01-02 09:00:00,54.6,34.9,0.597,8.4,32.1,184.0
2024-01-02 10:00:00,52.7,33.3,0.54,5.3,33.1,191.0
2024-01-02 11:00:00,52.3,32.6,0.516,4.3,33.8,193.0
2024-01-02 12:00:00,56.0,33.9,0.584,15.2,30.9,176.0
2024-01-02 13:00:00,59.0,36.4,0.843,42.9,31.5,135.0
2024-01-02 14:00:00,76.6,50.1,1.199,80.8,32.3,78.0
2024-01-02 15:00:00,86.4,58.1,1.454,106.7,32.5,36.0
2024-01-02 16:00:00,92.0,62.6,1.528,110.6,31.7,21.0
2024-01-02 17:00:00,93.6,64.5,1.5,102.6,30.2,20.0
2024-01-02 18:00:00,90.1,62.4,1.412,90.6,28.3,24.0
2024-01-02 19:00:00,84.8,58.7,1.246,75.3,25.8,30.0
2024-01-02 20:00:00,79.4,54.8,1.019,56.1,22.8,41.0
2024-01-02 21:00:00,73.8,50.9,0.827,39.3,20.4,52.0
2024-01-02 22:00:00,68.7,46.9,0.687,25.2,18.8,66.0
2024-01-02 23:00:00,63.6,43.0,0.582,13.6,17.8,80.0
2024-01-03 00:00:00,60.3,40.2,0.578,11.9,16.9,80.0
2024-01-03 01:00:00,58.2,38.6,0.682,21.8,17.4,72.0
2024-01-03 02:00:00,60.1,39.8,0.82,35.1,18.2,61.0
2024-01-03 03:00:00,65.7,43.5,0.891,42.2,19.3,60.0
2024-01-03 04:00:00,69.4,46.0,0.833,37.3,21.2,77.0
2024-01-03 05:00:00,71.9,47.4,0.707,26.3,23.4,105.0
2024-01-03 06:00:00,66.8,42.3,0.599,17.0,25.1,129.0
2024-01-03 07:00:00,58.7,35.4,0.537,12.1,25.7,147.0
2024-01-03 08:00:00,56.3,32.8,0.492,9.0,25.8,162.0
2024-01-03 09:00:00,56.3,32.0,0.461,7.5,25.7,170.0
2024-01-03 10:00:00,55.3,30.5,0.436,7.1,25.7,170.0
2024-01-03 11:00:00,54.6,29.6,0.426,8.3,25.6,164.0
2024-01-03 12:00:00,62.6,33.9,0.492,13.9,25.6,158.0
2024-01-03 13:00:00,62.2,36.0,0.593,25.7,24.9,130.0
2024-01-03 14:00:00,64.7,39.8,0.727,41.4,23.8,92.0
2024-01-03 15:00:00,63.8,40.3,0.794,50.0,22.4,65.0
2024-01-03 16:00:00,61.9,39.3,0.733,44.6,20.5,61.0
2024-01-03 17:00:00,60.1,38.2,0.604,32.0,18.1,69.0
2024-01-03 18:00:00,59.5,37.5,0.495,21.3,15.9,77.0
2024-01-03 19:00:00,58.7,36.7,0.435,15.7,13.8,80.0
2024-01-03 20:00:00,56.7,35.3,0.394,12.0,11.7,83.0
2024-01-03 21:00:00,54.7,34.0,0.364,9.2,10.1,85.0
2024-01-03 22:00:00,53.3,33.2,0.337,6.6,9.1,87.0
2024-01-03 23:00:00,52.6,32.9,0.321,5.0,8.5,89.0
2024-01-04 00:00:00,53.0,33.2,0.336,6.2,8.5,88.0
2024-01-04 01:00:00,54.0,34.1,0.414,12.8,8.8,81.0
2024-01-04 02:00:00,56.8,36.3,0.519,21.7,9.2,73.0
2024-01-04 03:00:00,60.5,39.1,0.588,26.7,10.2,72.0
2024-01-04 04:00:00,62.4,40.4,0.588,24.2,12.0,85.0
2024-01-04 05:00:00,62.4,40.4,0.551,17.8,14.3,106.0
2024-01-04 06:00:00,56.5,36.3,0.51,12.4,16.7,125.0
2024-01-04 07:00:00,46.8,29.7,0.468,9.6,19.3,139.0
2024-01-04 08:00:00,40.3,25.1,0.422,7.9,21.9,151.0
2024-01-04 09:00:00,38.2,23.4,0.394,7.4,23.8,158.0
2024-01-04 10:00:00,38.6,23.2,0.384,7.7,24.6,160.0
2024-01-04 11:00:00,40.2,23.7,0.392,9.3,24.6,157.0
2024-01-04 12:00:00,68.7,40.6,0.463,14.3,24.2,150.0
2024-01-04 13:00:00,77.8,48.2,0.547,21.4,22.8,132.0
2024-01-04 14:00:00,85.4,54.0,0.662,30.9,20.7,106.0
2024-01-04 15:00:00,88.9,56.2,0.737,36.2,18.9,88.0
2024-01-04 16:00:00,91.0,57.2,0.734,33.6,17.6,83.0
2024-01-04 17:00:00,92.9,58.2,0.691,26.8,16.5,85.0
2024-01-04 18:00:00,94.5,59.0,0.649,20.6,15.4,88.0
2024-01-04 19:00:00,94.8,58.9,0.62,16.4,14.1,90.0
2024-01-04 20:00:00,94.3,58.1,0.593,12.7,12.7,92.0
2024-01-04 21:00:00,93.4,57.0,0.568,9.8,11.7,94.0
2024-01-04 22:00:00,92.4,56.0,0.537,7.1,11.3,96.0
2024-01-04 23:00:00,91.3,55.1,0.51,5.1,11.2,97.0
2024-01-05 00:00:00,90.1,54.2,0.523,6.9,11.5,93.0
2024-01-05 01:00:00,90.3,54.2,0.612,15.7,11.8,82.0
2024-01-05 02:00:00,92.7,56.0,0.731,27.6,12.3,68.0
2024-01-05 03:00:00,97.3,59.4,0.8,34.5,13.3,63.0
2024-01-05 04:00:00,99.0,60.8,0.774,31.5,14.7,77.0
2024-01-05 05:00:00,98.3,59.8,0.697,23.6,16.6,100.0
2024-01-05 06:00:00,87.5,52.0,0.619,16.8,19.3,120.0
2024-01-05 07:00:00,76.1,43.8,0.545,13.3,23.8,132.0
2024-01-05 08:00:00,72.2,40.3,0.469,11.0,29.2,141.0
2024-01-05 09:00:00,73.8,39.9,0.422,10.1,32.6,147.0
2024-01-05 10:00:00,75.4,40.2,0.41,10.0,32.7,151.0
2024-01-05 11:00:00,76.4,40.9,0.428,11.4,30.9,151.0
2024-01-05 12:00:00,84.3,46.4,0.509,16.8,30.4,143.0
2024-01-05 13:00:00,89.4,52.7,0.669,31.3,28.6,117.0
2024-01-05 14:00:00,98.0,60.5,0.884,50.6,26.1,83.0
2024-01-05 15:00:00,99.2,62.4,1.009,60.3,23.5,60.0
2024-01-05 16:00:00,99.4,62.9,0.959,51.2,21.0,62.0
2024-01-05 17:00:00,98.7,62.2,0.818,32.5,18.4,76.0
2024-01-05 18:00:00,96.6,60.8,0.702,17.5,16.4,88.0
2024-01-05 19:00:00,93.4,58.6,0.652,11.5,15.3,93.0
2024-01-05 20:00:00,89.4,56.0,0.625,9.1,14.7,96.0
2024-01-05 21:00:00,85.9,53.8,0.608,7.5,14.4,98.0
2024-01-05 22:00:00,82.7,51.9,0.59,5.3,14.3,101.0
2024-01-05 23:00:00,80.3,50.8,0.582,4.0,14.5,102.0
2024-01-06 00:00:00,80.1,50.3,0.579,5.8,14.2,98.0
2024-01-06 01:00:00,79.2,49.7,0.648,12.6,14.5,91.0
2024-01-06 02:00:00,80.3,50.6,0.742,21.8,15.0,82.0
2024-01-06 03:00:00,83.4,52.9,0.794,26.9,15.7,80.0
2024-01-06 04:00:00,84.5,53.7,0.769,24.1,16.9,92.0
2024-01-06 05:00:00,85.7,53.8,0.703,17.2,18.4,111.0
2024-01-06 06:00:00,78.7,48.1,0.639,11.5,19.8,127.0
2024-01-06 07:00:00,71.7,42.6,0.584,8.7,20.9,138.0
2024-01-06 08:00:00,68.0,39.8,0.53,7.2,21.8,145.0
2024-01-06 09:00:00,65.7,38.2,0.496,6.7,22.4,149.0
2024-01-06 10:00:00,63.8,37.1,0.485,7.2,22.6,148.0
2024-01-06 11:00:00,62.2,36.3,0.493,8.9,22.4,142.0
2024-01-06 12:00:00,57.5,34.2,0.534,11.8,21.8,131.0
2024-01-06 13:00:00,66.4,41.2,0.598,17.1,21.6,117.0
2024-01-06 14:00:00,72.6,45.6,0.685,24.2,21.2,97.0
2024-01-06 15:00:00,75.9,47.8,0.741,28.1,20.8,83.0
2024-01-06 16:00:00,77.3,48.8,0.739,26.2,20.4,79.0
2024-01-06 17:00:00,78.2,49.4,0.706,21.1,19.9,81.0
2024-01-06 18:00:00,78.9,49.7,0.675,16.2,19.5,84.0
2024-01-06 19:00:00,78.9,49.6,0.653,12.4,19.1,89.0
2024-01-06 20:00:00,77.8,48.9,0.633,8.8,18.7,96.0
2024-01-06 21:00:00,76.6,48.4,0.622,6.2,18.3,101.0
2024-01-06 22:00:00,75.9,48.3,0.62,4.3,17.9,104.0
2024-01-06 23:00:00,75.9,48.8,0.628,3.4,17.6,106.0
2024-01-07 00:00:00,76.1,49.2,0.655,4.6,17.3,104.0
2024-01-07 01:00:00,77.5,50.5,0.727,10.4,17.6,97.0
2024-01-07 02:00:00,80.3,52.9,0.825,18.3,18.2,88.0
2024-01-07 03:00:00,84.1,55.6,0.884,22.7,18.9,86.0
2024-01-07 04:00:00,85.0,56.6,0.873,20.3,20.1,98.0
2024-01-07 05:00:00,85.7,56.9,0.824,14.4,21.5,117.0
2024-01-07 06:00:00,78.5,51.5,0.765,9.6,22.5,132.0
2024-01-07 07:00:00,68.7,44.0,0.695,7.4,22.7,140.0
2024-01-07 08:00:00,60.3,38.0,0.614,6.4,22.4,145.0
2024-01-07 09:00:00,54.5,34.0,0.557,6.2,22.1,146.0
2024-01-07 10:00:00,51.0,31.9,0.531,6.7,22.0,145.0
2024-01-07 11:00:00,49.4,31.0,0.529,8.2,22.0,140.0
2024-01-07 12:00:00,40.7,26.6,0.558,11.1,22.5,132.0
2024-01-07 13:00:00,46.9,31.5,0.623,16.2,22.5,120.0
2024-01-07 14:00:00,51.0,34.7,0.712,23.1,22.5,104.0
2024-01-07 15:00:00,53.6,36.4,0.775,27.1,22.4,93.0
2024-01-07 16:00:00,55.4,37.7,0.785,25.5,22.1,92.0
2024-01-07 17:00:00,57.9,39.2,0.769,20.9,21.8,95.0
2024-01-07 18:00:00,60.8,41.3,0.754,16.6,21.5,99.0
2024-01-07 19:00:00,63.8,43.2,0.75,13.5,21.5,102.0
2024-01-07 20:00:00,66.1,44.7,0.748,10.7,21.5,106.0
2024-01-07 21:00:00,68.0,45.8,0.75,8.4,21.6,109.0
2024-01-07 22:00:00,69.2,46.7,0.75,6.1,21.6,112.0
2024-01-07 23:00:00,70.3,47.4,0.755,4.3,21.7,115.0
2024-01-08 00:00:00,70.5,47.5,0.777,5.4,21.8,114.0
2024-01-08 01:00:00,71.9,48.3,0.853,12.2,22.1,105.0
2024-01-08 02:00:00,74.0,49.8,0.955,21.5,22.5,94.0
2024-01-08 03:00:00,77.8,52.4,1.014,27.5,22.9,91.0
2024-01-08 04:00:00,80.8,54.5,1.001,27.3,23.3,102.0
2024-01-08 05:00:00,80.6,54.0,0.945,23.7,23.7,121.0
2024-01-08 06:00:00,73.1,48.4,0.863,19.7,23.9,137.0
2024-01-08 07:00:00,54.4,35.0,0.738,15.4,23.7,146.0
2024-01-08 08:00:00,44.0,27.4,0.588,10.6,23.3,153.0
2024-01-08 09:00:00,44.1,27.2,0.484,7.6,22.6,156.0
2024-01-08 10:00:00,44.8,27.4,0.428,4.8,21.3,158.0
2024-01-08 11:00:00,44.7,27.0,0.417,3.9,19.7,157.0
2024-01-08 12:00:00,51.5,30.9,0.528,13.0,20.3,144.0
2024-01-08 13:00:00,55.3,33.8,0.963,40.6,21.3,108.0
2024-01-08 14:00:00,75.7,48.7,1.55,78.0,22.7,59.0
2024-01-08 15:00:00,89.4,58.9,1.892,101.1,23.5,25.0
2024-01-08 16:00:00,91.5,61.9,1.76,97.7,23.5,20.0
2024-01-08 17:00:00,79.9,54.7,1.383,80.0,22.8,29.0
2024-01-08 18:00:00,72.2,49.1,1.047,61.0,21.5,42.0
2024-01-08 19:00:00,64.7,43.8,0.841,42.6,18.8,57.0
2024-01-08 20:00:00,58.2,38.6,0.675,22.7,15.4,74.0
2024-01-08 21:00:00,54.4,35.5,0.567,8.4,13.1,88.0
2024-01-08 22:00:00,54.2,35.3,0.532,3.0,12.8,95.0
2024-01-08 23:00:00,56.2,36.7,0.555,3.1,13.6,97.0
2024-01-09 00:00:00,57.0,36.9,0.554,5.6,13.7,91.0
2024-01-09 01:00:00,61.2,39.6,0.626,10.4,14.5,88.0
2024-01-09 02:00:00,66.6,43.1,0.723,16.9,15.7,84.0
2024-01-09 03:00:00,72.9,47.3,0.782,20.5,17.0,86.0
2024-01-09 04:00:00,77.1,50.3,0.774,18.7,18.8,100.0
2024-01-09 05:00:00,81.0,52.2,0.728,14.0,20.8,120.0
2024-01-09 06:00:00,75.0,46.2,0.67,10.0,21.6,134.0
2024-01-09 07:00:00,62.4,35.5,0.596,7.6,20.4,137.0
2024-01-09 08:00:00,58.6,31.0,0.51,5.9,18.1,135.0
2024-01-09 09:00:00,56.3,29.2,0.453,5.1,16.3,132.0
2024-01-09 10:00:00,52.3,27.9,0.439,5.4,15.6,131.0
2024-01-09 11:00:00,49.1,27.8,0.454,6.7,15.4,129.0
2024-01-09 12:00:00,36.6,23.2,0.448,9.2,15.1,123.0
2024-01-09 13:00:00,42.0,27.5,0.52,13.8,15.6,113.0
2024-01-09 14:00:00,47.6,31.4,0.619,20.1,16.4,100.0
2024-01-09 15:00:00,52.0,34.2,0.695,23.8,17.1,91.0
2024-01-09 16:00:00,56.0,36.8,0.725,22.8,17.7,89.0
2024-01-09 17:00:00,59.5,39.3,0.732,19.3,18.2,92.0
2024-01-09 18:00:00,62.9,41.6,0.733,15.7,18.6,95.0
2024-01-09 19:00:00,65.4,43.3,0.732,12.7,18.9,98.0
2024-01-09 20:00:00,67.1,44.6,0.724,9.7,19.0,103.0
2024-01-09 21:00:00,68.0,45.3,0.718,7.3,19.1,106.0
2024-01-09 22:00:00,68.2,45.5,0.71,5.3,19.2,109.0
2024-01-09 23:00:00,67.8,45.4,0.703,4.0,19.2,110.0
2024-01-10 00:00:00,68.9,46.0,0.717,5.2,18.5,108.0
2024-01-10 01:00:00,68.5,45.8,0.775,11.8,18.6,100.0
2024-01-10 02:00:00,68.7,45.9,0.85,20.7,18.8,89.0
2024-01-10 03:00:00,70.1,46.8,0.878,25.8,19.2,85.0
2024-01-10 04:00:00,70.5,47.1,0.82,23.7,20.1,95.0
2024-01-10 05:00:00,67.5,44.2,0.714,17.8,21.2,113.0
2024-01-10 06:00:00,62.4,39.8,0.61,12.7,21.8,127.0
2024-01-10 07:00:00,54.1,33.9,0.515,9.7,21.2,133.0
2024-01-10 08:00:00,47.4,29.5,0.422,7.4,20.1,136.0
2024-01-10 09:00:00,43.3,26.9,0.359,6.4,19.2,136.0
2024-01-10 10:00:00,41.6,25.8,0.33,5.8,18.9,136.0
2024-01-10 11:00:00,40.7,25.4,0.33,6.3,18.8,134.0
2024-01-10 12:00:00,31.3,20.5,0.386,11.7,19.3,125.0
2024-01-10 13:00:00,37.4,24.9,0.539,26.3,19.7,103.0
2024-01-10 14:00:00,45.5,30.5,0.746,46.1,20.4,72.0
2024-01-10 15:00:00,49.5,33.2,0.877,57.4,20.7,51.0
2024-01-10 16:00:00,50.8,34.0,0.858,52.3,20.7,50.0
2024-01-10 17:00:00,50.4,33.5,0.763,38.9,20.4,59.0
2024-01-10 18:00:00,50.1,33.2,0.68,27.7,19.8,66.0
2024-01-10 19:00:00,50.1,32.9,0.645,23.0,18.7,65.0
2024-01-10 20:00:00,49.2,32.5,0.624,20.6,17.2,63.0
2024-01-10 21:00:00,47.5,31.3,0.599,18.3,16.1,61.0
2024-01-10 22:00:00,45.4,29.8,0.549,14.0,15.5,63.0
2024-01-10 23:00:00,43.1,28.2,0.496,9.8,15.1,67.0
2024-01-11 00:00:00,41.8,27.4,0.515,11.8,14.0,57.0
2024-01-11 01:00:00,40.6,26.6,0.637,22.2,14.2,45.0
2024-01-11 02:00:00,42.1,27.8,0.8,36.1,14.8,29.0
2024-01-11 03:00:00,48.7,32.4,0.891,43.9,16.5,27.0
2024-01-11 04:00:00,51.8,34.2,0.844,39.7,20.7,49.0
2024-01-11 05:00:00,52.2,34.2,0.723,29.3,26.0,85.0
2024-01-11 06:00:00,46.6,30.5,0.612,20.5,30.0,114.0
2024-01-11 07:00:00,37.3,24.3,0.531,15.8,31.4,129.0
2024-01-11 08:00:00,32.7,21.1,0.458,12.7,31.4,138.0
2024-01-11 09:00:00,31.5,20.0,0.411,11.1,30.7,144.0
2024-01-11 10:00:00,31.5,19.7,0.348,8.3,29.3,151.0
2024-01-11 11:00:00,32.1,20.0,0.311,7.0,27.3,154.0
2024-01-11 12:00:00,40.4,25.1,0.429,15.4,26.4,143.0
2024-01-11 13:00:00,43.4,27.2,0.831,43.1,25.6,106.0
2024-01-11 14:00:00,64.5,42.6,1.386,80.9,24.6,54.0
2024-01-11 15:00:00,76.8,51.2,1.796,106.2,24.0,17.0
2024-01-11 16:00:00,86.6,58.2,1.955,107.2,24.3,7.0
2024-01-11 17:00:00,90.6,61.5,1.971,95.7,25.1,12.0
2024-01-11 18:00:00,85.2,58.3,1.867,84.4,25.2,17.0
2024-01-11 19:00:00,76.8,52.6,1.589,78.4,24.2,18.0
2024-01-11 20:00:00,70.3,48.2,1.192,72.6,22.5,20.0
2024-01-11 21:00:00,65.0,44.6,0.869,64.1,20.9,24.0
2024-01-11 22:00:00,61.5,42.1,0.688,48.7,19.5,32.0
2024-01-11 23:00:00,58.4,39.9,0.58,30.7,18.1,42.0
2024-01-12 00:00:00,57.6,39.5,0.697,41.1,16.0,24.0
2024-01-12 01:00:00,55.5,37.8,0.823,43.1,16.1,18.0
2024-01-12 02:00:00,55.8,38.0,0.988,45.5,16.5,11.0
2024-01-12 03:00:00,62.2,42.4,1.053,44.9,18.4,15.0
2024-01-12 04:00:00,67.5,45.9,0.925,38.6,23.5,42.0
2024-01-12 05:00:00,61.7,41.6,0.697,29.2,30.2,80.0
2024-01-12 06:00:00,39.7,26.4,0.508,21.2,34.9,110.0
2024-01-12 07:00:00,30.0,19.4,0.411,16.0,35.6,122.0
2024-01-12 08:00:00,27.3,17.3,0.353,12.3,34.4,126.0
2024-01-12 09:00:00,25.0,15.8,0.32,10.4,33.2,128.0
2024-01-12 10:00:00,24.0,15.3,0.273,7.7,33.0,132.0
2024-01-12 11:00:00,23.8,15.1,0.251,7.0,33.0,135.0
2024-01-12 12:00:00,35.2,23.2,0.403,19.0,38.9,138.0
2024-01-12 13:00:00,39.5,26.1,0.713,50.1,37.5,103.0
2024-01-12 14:00:00,63.1,42.5,1.141,92.9,35.5,55.0
2024-01-12 15:00:00,75.4,50.6,1.468,124.7,33.7,19.0
2024-01-12 16:00:00,77.3,51.3,1.597,135.9,32.7,8.0
2024-01-12 17:00:00,81.3,53.7,1.626,136.1,31.9,11.0
2024-01-12 18:00:00,89.4,59.0,1.628,131.8,30.6,13.0
2024-01-12 19:00:00,100.4,67.1,1.637,123.6,28.0,12.0
2024-01-12 20:00:00,97.8,66.1,1.619,110.9,24.9,11.0
2024-01-12 21:00:00,88.9,60.5,1.554,97.9,22.2,11.0
2024-01-12 22:00:00,81.7,55.8,1.387,85.0,20.3,11.0
2024-01-12 23:00:00,77.8,52.6,1.173,71.8,18.9,11.0
2024-01-13 00:00:00,81.7,53.9,1.047,66.0,18.1,11.0
2024-01-13 01:00:00,77.8,50.9,1.183,62.2,17.6,7.0
2024-01-13 02:00:00,76.8,49.9,1.359,56.6,16.9,3.0
2024-01-13 03:00:00,83.8,54.6,1.412,50.7,16.7,11.0
2024-01-13 04:00:00,96.2,63.3,1.232,45.0,18.0,44.0
2024-01-13 05:00:00,79.4,49.7,0.929,38.9,19.9,89.0
2024-01-13 06:00:00,52.3,30.5,0.668,32.1,20.0,123.0
2024-01-13 07:00:00,35.6,19.6,0.506,23.3,16.6,134.0
2024-01-13 08:00:00,30.3,16.6,0.385,13.8,11.4,134.0
2024-01-13 09:00:00,26.0,14.1,0.3,7.5,7.4,128.0
2024-01-13 10:00:00,21.9,11.6,0.244,5.2,5.8,118.0
2024-01-13 11:00:00,18.9,9.8,0.223,6.0,5.4,103.0
2024-01-13 12:00:00,10.2,4.7,0.222,10.3,5.1,84.0
2024-01-13 13:00:00,13.5,6.5,0.316,21.5,5.5,68.0
2024-01-13 14:00:00,19.5,10.8,0.446,37.0,6.0,46.0
2024-01-13 15:00:00,24.5,13.9,0.545,48.8,6.5,30.0
2024-01-13 16:00:00,28.4,16.1,0.586,53.6,7.1,24.0
2024-01-13 17:00:00,31.8,18.0,0.597,54.7,7.7,24.0
2024-01-13 18:00:00,35.2,19.7,0.591,53.8,8.1,26.0
2024-01-13 19:00:00,38.1,21.1,0.571,50.9,8.1,29.0
2024-01-13 20:00:00,40.5,21.7,0.535,46.0,7.9,35.0
2024-01-13 21:00:00,41.8,21.5,0.494,40.7,7.7,39.0
2024-01-13 22:00:00,41.3,20.7,0.43,34.3,7.6,42.0
2024-01-13 23:00:00,39.7,19.6,0.362,27.5,7.5,44.0
2024-01-14 00:00:00,42.6,18.9,0.299,18.7,6.5,59.0
2024-01-14 01:00:00,41.7,18.7,0.488,28.7,6.9,42.0
2024-01-14 02:00:00,42.6,21.1,0.742,41.9,7.6,19.0
2024-01-14 03:00:00,50.1,28.7,0.878,48.4,8.9,12.0
2024-01-14 04:00:00,53.9,29.7,0.78,41.7,11.4,34.0
2024-01-14 05:00:00,49.7,23.7,0.564,28.3,14.5,71.0
2024-01-14 06:00:00,50.2,21.7,0.394,17.3,16.8,103.0
2024-01-14 07:00:00,51.8,20.4,0.336,12.1,17.6,122.0
2024-01-14 08:00:00,51.1,20.4,0.324,9.3,17.5,135.0
2024-01-14 09:00:00,52.3,21.5,0.327,8.2,17.7,145.0
2024-01-14 10:00:00,54.6,22.8,0.328,7.7,18.8,156.0
2024-01-14 11:00:00,57.6,24.3,0.344,8.9,20.2,165.0
2024-01-14 12:00:00,70.1,31.0,0.404,14.3,22.0,159.0
2024-01-14 13:00:00,73.3,34.0,0.592,36.7,20.9,125.0
2024-01-14 14:00:00,80.8,41.0,0.858,67.6,19.4,78.0
2024-01-14 15:00:00,88.5,45.4,1.115,91.1,18.7,42.0
2024-01-14 16:00:00,100.1,51.1,1.377,101.5,19.9,26.0
2024-01-14 17:00:00,110.8,59.1,1.629,104.5,21.8,20.0
2024-01-14 18:00:00,119.7,73.1,1.738,101.8,23.0,19.0
2024-01-14 19:00:00,114.6,75.9,1.6,92.2,22.5,21.0
2024-01-14 20:00:00,113.2,76.4,1.32,76.9,21.1,27.0
2024-01-14 21:00:00,111.3,75.0,1.074,61.1,19.7,34.0
2024-01-14 22:00:00,108.7,73.1,0.907,43.7,18.4,44.0
2024-01-14 23:00:00,104.5,70.1,0.775,25.8,17.0,56.0
2024-01-15 00:00:00,100.8,67.3,0.809,26.6,15.3,45.0
2024-01-15 01:00:00,97.3,64.5,0.964,33.5,14.6,33.0
2024-01-15 02:00:00,96.9,63.8,1.172,42.7,13.9,18.0
2024-01-15 03:00:00,103.1,67.8,1.282,47.5,15.3,18.0
2024-01-15 04:00:00,109.9,71.2,1.209,44.2,21.0,45.0
2024-01-15 05:00:00,112.9,70.8,1.039,36.5,28.8,87.0
2024-01-15 06:00:00,115.9,71.9,0.877,28.8,34.2,123.0
2024-01-15 07:00:00,114.3,63.6,0.754,21.9,35.3,148.0
2024-01-15 08:00:00,111.8,51.1,0.639,15.2,33.9,168.0
2024-01-15 09:00:00,112.7,47.1,0.552,10.6,31.2,179.0
2024-01-15 10:00:00,111.8,44.9,0.502,9.1,26.7,179.0
2024-01-15 11:00:00,109.4,42.6,0.48,9.9,20.8,170.0
2024-01-15 12:00:00,90.3,31.2,0.436,12.4,13.0,143.0
2024-01-15 13:00:00,86.8,31.2,0.468,18.5,11.3,121.0
2024-01-15 14:00:00,80.3,31.1,0.513,27.0,8.9,89.0
2024-01-15 15:00:00,76.4,31.5,0.549,34.5,7.3,64.0
2024-01-15 16:00:00,74.0,31.7,0.575,40.5,7.2,50.0
2024-01-15 17:00:00,70.8,31.3,0.593,45.5,7.8,41.0
2024-01-15 18:00:00,67.5,31.2,0.588,47.2,8.1,37.0
2024-01-15 19:00:00,64.3,30.4,0.546,43.7,7.7,38.0
2024-01-15 20:00:00,59.8,28.5,0.481,37.0,7.0,43.0
2024-01-15 21:00:00,54.7,26.1,0.417,30.2,6.3,49.0
2024-01-15 22:00:00,49.6,23.6,0.345,23.1,5.7,55.0
2024-01-15 23:00:00,46.0,21.9,0.274,15.9,5.1,61.0
2024-01-16 00:00:00,43.8,20.2,0.249,13.3,5.1,61.0
2024-01-16 01:00:00,44.1,20.5,0.389,24.0,5.6,47.0
2024-01-16 02:00:00,47.8,23.5,0.579,38.4,6.3,28.0
2024-01-16 03:00:00,54.7,29.3,0.703,47.4,7.2,22.0
2024-01-16 04:00:00,62.6,34.7,0.706,46.4,8.8,39.0
2024-01-16 05:00:00,64.3,33.2,0.642,39.9,10.7,69.0
2024-01-16 06:00:00,64.0,27.9,0.56,32.2,11.6,94.0
2024-01-16 07:00:00,69.8,23.0,0.458,23.3,10.5,109.0
2024-01-16 08:00:00,77.3,22.2,0.337,13.2,8.5,118.0
2024-01-16 09:00:00,84.3,22.4,0.25,6.4,6.8,122.0
2024-01-16 10:00:00,88.0,22.6,0.217,4.6,6.1,118.0
2024-01-16 11:00:00,88.0,22.4,0.218,6.2,5.8,107.0
2024-01-16 12:00:00,88.5,21.9,0.256,10.9,6.6,102.0
2024-01-16 13:00:00,84.8,21.8,0.299,16.6,6.2,89.0
2024-01-16 14:00:00,77.3,22.2,0.362,24.9,5.6,70.0
2024-01-16 15:00:00,74.3,24.0,0.433,33.7,5.7,54.0
2024-01-16 16:00:00,74.3,25.8,0.516,43.3,6.9,42.0
