time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2024-01-01,52.25833333333333,35.291666666666664,0.7041666666666666,17.5125,22.004166666666666,113.08333333333333,99.77217453505007
2024-01-02,66.3875,44.63333333333333,0.9322499999999999,41.19166666666667,26.59166666666667,96.75,123.48911222780569
2024-01-03,60.18333333333334,37.300000000000004,0.5729583333333333,21.375,19.766666666666666,103.04166666666667,105.43216080402011
2024-01-04,69.79583333333333,43.475,0.5365416666666667,16.608333333333334,16.291666666666668,108.16666666666667,120.63693467336684
2024-01-05,88.60000000000001,53.354166666666664,0.6515416666666667,21.25,20.2625,101.83333333333333,144.96252093802346
2024-01-06,74.8,46.40833333333333,0.6373333333333333,14.1,19.224999999999998,107.125,127.85971524288107
2024-01-07,64.78333333333333,42.80416666666667,0.717,13.279166666666667,21.270833333333332,113.20833333333333,118.98513400335008
2024-01-08,65.16250000000001,42.78333333333333,0.8898333333333333,30.45,20.837500000000002,98.83333333333333,118.93383584589614
2024-01-09,60.94166666666666,38.545833333333334,0.6403333333333333,12.104166666666666,17.583333333333332,108.16666666666667,108.49979061976549
2024-01-10,52.25,34.233333333333334,0.6284166666666667,20.808333333333334,19.166666666666668,93.20833333333333,97.54649499284693
2024-01-11,54.51666666666667,36.237500000000004,0.9264166666666666,45.24166666666667,23.6125,67.25,102.81595477386935
2024-01-12,59.9125,40.125,0.9685416666666667,60.69664583333438,28.329166666666666,56.083333333333336,112.38819095477388
2024-01-13,43.550000000000004,25.891666666666666,0.632625,36.93333333333333,10.775,58.166666666666664,80.00393419170243
2024-01-14,74.74166666666666,40.7125,0.7997083333333334,45.35,17.033333333333335,71.41666666666667,113.83479899497488
2024-01-15,88.22083333333335,44.84583333333333,0.6693333333333333,29.25,16.099999999999998,83.5,124.01235343383584
2024-01-16,73.31666666666666,27.229166666666668,0.5016666666666666,35.78333333333333,8.1875,59.5,82.81670243204579
2024-01-17,93.28750000000001,53.07916666666667,0.6866666666666666,20.04583333333333,21.625,98.04166666666667,144.2853852596315
2024-01-18,91.98333333333333,58.537499999999994,0.8896666666666667,29.25,26.662499999999998,105.66666666666667,152.56836143308746
2024-01-19,91.30833333333334,57.49583333333334,1.2762499999999999,59.07164583333438,31.941666666666666,89.91666666666667,152.03051457674746
2024-01-20,86.96666666666665,50.54583333333333,0.985,41.6625,19.616666666666667,85.125,138.04752931323281
2024-01-21,96.87083333333334,57.59166666666667,1.2120833333333334,58.77164583333439,27.070833333333336,81.875,152.07999648753074
2024-01-22,78.825,42.208333333333336,0.7037916666666666,33.35,16.845833333333335,84.41666666666667,117.51800670016752
2024-01-23,86.45833333333333,47.71666666666667,0.7178749999999999,32.275,18.825,84.04166666666667,131.08123953098828
2024-01-24,106.40833333333335,59.71666666666667,0.9940000000000001,46.637499999999996,28.5,78.33333333333333,153.17720407446436
2024-01-25,96.52083333333333,53.24166666666667,0.9596666666666667,48.525000000000006,21.216666666666665,70.625,144.68551088777218
2024-01-26,95.58333333333333,57.8375,0.742375,20.295833333333334,21.383333333333336,106.91666666666667,152.20692834562698
2024-01-27,95.12916666666666,59.29583333333333,0.8939583333333333,29.204166666666666,22.854166666666668,102.75,152.95991394450297
2024-01-28,85.33333333333333,50.06666666666666,0.7242083333333333,20.125,16.66001250000002,103.375,136.86767169179228
2024-01-29,46.85,21.349999999999998,0.357875,21.7375,6.179166666666667,68.08333333333333,70.45278969957081
2024-01-30,76.80833333333334,24.2625,0.3682083333333333,23.349999999999998,7.1499999999999995,64.04166666666667,76.57778969957081
2024-01-31,58.28333333333333,21.45,0.323375,18.054166666666667,6.1000000000000005,76.54166666666667,70.66309012875537
2024-02-01,98.11666666666667,31.420833333333334,0.40162499999999995,24.95,11.4,74.20833333333333,91.63179542203147
2024-02-02,142.27083333333334,42.770833333333336,0.48633333333333334,36.17916666666667,11.629166666666668,50.041666666666664,118.90305695142379
2024-02-03,78.39583333333333,30.625,0.414,20.95416666666667,8.683333333333334,56.208333333333336,89.95815450643778
2024-02-04,73.24166666666666,23.84166666666667,0.3784166666666667,25.641666666666666,5.925,70.04166666666667,75.69277539341918
2024-02-05,50.525,26.55,0.4836666666666667,27.462500000000002,11.3125,78.33333333333333,81.38841201716738
2024-02-06,54.32916666666667,24.420833333333334,0.4259583333333334,23.995833333333334,9.920833333333333,87.16666666666667,76.91076537911303
2024-02-07,70.95416666666667,34.295833333333334,0.445125,17.933333333333334,12.654166666666667,84.875,97.67793276108728
2024-02-08,49.30833333333334,27.09166666666667,0.5475833333333333,32.52916666666667,14.095833333333333,77.0,82.52753934191703
2024-02-09,55.39166666666667,26.454166666666666,0.5304166666666666,28.09166666666667,10.833333333333334,82.625,81.18687410586553
2024-02-10,49.6625,24.729166666666668,0.49887499999999996,29.9875,12.004166666666668,86.20833333333333,77.55919170243206
2024-02-11,46.01666666666667,26.712500000000002,0.49466666666666664,29.212500000000002,13.641666666666666,84.91666666666667,81.73015021459229
2024-02-12,53.14166666666667,34.479166666666664,0.7019166666666666,42.53333333333333,16.545833333333334,80.45833333333333,98.06348354792561
2024-02-13,69.86666666666666,42.166666666666664,0.8740833333333334,47.1625,21.7,64.16666666666667,117.41541038525963
2024-02-14,76.1125,45.25,0.9266666666666667,51.32916666666667,20.154166666666665,69.375,125.00753768844221
2024-02-15,76.32083333333334,46.6625,0.9547500000000001,53.12083333333334,17.712500000000002,71.66666666666667,128.4855527638191
2024-02-16,61.012499999999996,37.025,0.839875,56.699999999999996,17.316666666666666,64.54166666666667,104.75502512562814
